user_id,amount,time_delta,device_type,ip_region,is_fraud
1102,449.9502578916932,60874,mobile,EU,0
1435,616.3370876634473,41342,web,IN,0
1860,372.0790029279845,1237,pos,US,0
1270,201.05707481113257,67917,mobile,IN,0
1106,1086.4778580394266,14539,web,OTHER,0
1071,240.4962528913611,11972,pos,IN,0
1700,377.27304712617087,83454,mobile,US,0
1020,1585.1603059061217,38656,pos,EU,0
1614,359.68751503010515,77023,web,IN,0
1121,132.0227143090788,60785,web,US,0
1466,763.6598161616015,61290,web,OTHER,0
1214,497.7410876009099,37411,web,OTHER,0
1330,1448.4716794088874,51303,mobile,EU,0
1458,215.98814882559776,21704,web,OTHER,0
1087,2786.8054329062556,44192,mobile,US,1
1372,4733.895673778973,54113,mobile,IN,0
1099,2720.747826377389,11400,pos,US,0
1871,1522.111440585928,12686,web,EU,0
1663,3941.7888510214116,4488,pos,IN,0
1130,2374.3518618028384,12019,pos,US,0
1661,21.2143604123416,30826,pos,EU,0
1308,1002.0481418686984,7751,pos,EU,0
1769,3806.9724047191676,58957,pos,IN,0
1343,848.8642746316965,50230,web,IN,0
1491,71.70036050608277,83221,pos,OTHER,0
1413,2742.257001138853,43119,mobile,OTHER,0
1805,3239.3631024526458,59616,mobile,IN,0
1385,350.12083368968564,79947,web,OTHER,0
1191,1541.527819587621,57291,mobile,IN,0
1955,426.276144447937,15106,pos,OTHER,0
1276,2540.4703785738916,18914,mobile,US,0
1160,633.673829479764,49516,pos,EU,0
1459,760.2238349974344,47343,web,IN,0
1313,3728.2842774175706,52185,mobile,IN,0
1021,1293.757919853687,83248,mobile,IN,0
1252,2215.8376279996505,60507,mobile,US,0
1747,1029.577100668758,24968,web,EU,0
1856,707.6632861726132,36024,web,OTHER,0
1560,1964.2097881901072,54289,mobile,OTHER,0
1474,336.5002288842836,26623,web,EU,0
1058,933.6169521908874,45202,pos,OTHER,0
1510,469.008271614957,75034,web,IN,0
1681,2380.1067081257343,16351,mobile,EU,0
1475,5772.279630879669,54821,pos,US,0
1699,10812.2363884116,48710,mobile,EU,0
